Lat,Lon,Title,Location,TotalTime,Langs
18.9387711,72.8353355,tig3rbabu,Mumbai - India,30 mins,NS
49.841952,24.0315921,undeleted,Lviv - Ukraine,30 mins,SuperCollider
45.7578137,4.8320114,th4,Lyon - France,30 mins,Tidal Cycles
-23.5506507,-46.6333824,Elihu Garrett,São Paulo - Brazil,30 mins,Lisp
52.5170365,13.3888599,redFrik,Berlin - Germany,30 mins,SuperCollider
52.5170365,13.3888599,Sarah GHP,Berlin - Germany,30 mins,NS
50.6402809,4.6667145,electret,Belgium,30 mins,TidalCycles
19.4326296,-99.1331785,Hernani Villaseñor,Mexico City,30 mins,sclang
51.421177,-0.2045383,Livecode London Goldsmiths Algorave,Goldsmiths - London - UK,120 mins,NS
55.7504461,37.6174943,Eulerroom Equinox 2020 Moscow,Moscow - Russia,150 mins,NS
51.0493286,13.7381437,kn00tsm00ds,Dresden - Germany,30 mins,TidalCycles/Scratch
41.8933203,12.4829321,Algorave Rome,Rome - Italy,90 mins,NS
43.157285,-77.615214,Steven Yi,Rochester - NY - USA,30 mins,NS
52.4796992,-1.9026911,hellocatfood x yaxu,Birmingham - UK,30 mins,NS
53.3806626,-1.4702278,hellocatfood x yaxu,Sheffield - UK,30 mins,NS
51.5073219,-0.1276474,mathr,London - UK,30 mins,C
25.7742658,-80.1936589,Lenny Foret,Miami - FL - USA,30 mins,TidalCycles
44.0505054,-123.0950506,speedymollusc,Eugene - OR - USA,30 mins,FoxDot/sagemath
42.2761217,-71.8058232,Charlie Roberts,Worcester - MA - USA,30 mins,NS
-39.8141965,-73.2458525,equinoxioAustral,Valdivia - Chile,90 mins,NS
38.8903961,-77.0841585,NorthWoods,Arlington - VA - USA,30 mins,ChucK
40.7127281,-74.0060152,Messica Arson,New York City - NY - USA,30 mins,NS
38.8948932,-77.0365529,rich seymour,Washingtion DC - USA,30 mins,NS
-2.1899066,-79.887726,1RR4710N4L NUMB3R5,Guayaquil - Ecuador,30 mins,NS
4.6486846,-74.1058139,Hacs-Art,Bogota - Colombia,30 mins,Hydra
-10.3333333,-53.2,Pietro Bapthysthe,Brazil,30 mins,FoxDot
44.9504037,-93.1015026,bgold,St Paul - MN - USA,30 mins,Tidal/SuperDirt
49.2608724,-123.1139529,byte.observer,Vancouver - BC - Canada,30 mins,C++/tinyspec
36.5748441,139.2394179,myxy,Japan,30 mins,TidalCycles
-37.8142176,144.9631608,Sheila,Melbourne - Australia,30 mins,TidalCycles/Modular Synth
54.7023545,-3.2765753,stretch__beatz,England,30 mins,FoxDot
4.6486846,-74.1058139,La Salpicodera,Bogota - Colombia,30 mins,NS
4.6486846,-74.1058139,Invalid User,Bogota - Colombia,30 mins,Hydra
47.4983815,19.0404707,Boros Tamas,Budapest - Hungary,30 mins,TidalCycles
-23.5506507,-46.6333824,Gil Fuser,São Paulo - Brazil,30 mins,NS
-34.9281805,138.5999312,MΔZE,Adelaide - Australia,30 mins,TidalCycles
59.938732,30.316229,ildar,Saint-Petersburg - Russia,30 mins,TouchDesigner
51.5073219,-0.1276474,idmt?,London - UK,30 mins,TidalCycles
36.5748441,139.2394179,Alicef,Japan,30 mins,NS
36.5748441,139.2394179,Niko_14,Japan,30 mins,Sonic Pi
39.9527237,-75.1635262,Pam the Webivore,Philadelphia - PA - USA,30 mins,TidalCycles
-34.9964963,-64.9672817,lowPoly,Argentina,30 mins,TidalCycles/Hydra
41.6809707,44.0287382,Pondskater,Georgia,30 mins,NS
43.074761,-89.3837613,17.2m,Madison - WI - USA,30 mins,NS
-20.3200917,-40.3376682,beise,Vitória - Brazil,30 mins,NS
42.6511674,-73.754968,Codenobi and Wookie,Albany - NY - USA,30 mins,Tidal/GLSL
52.5170365,13.3888599,Alexandra Cárdenas,Berlin - Germany,30 mins,NS
36.5748441,139.2394179,Lactoice and Butadiene,Japan,30 mins,SonicPi/GLSL
48.584614,7.7507127,Crash Server,Strasbourg - France,30 mins,FoxDot/troop
-72.8438691,0,axaud,somewhere,30 mins,NS
19.4326296,-99.1331785,josecaos,Mexico City,30 mins,SuperCollider
32.0804808,34.7805274,Earth to Abigail,Tel Aviv - Israel,30 mins,SonicPi
55.6867243,12.5700724,Terminal Void,Copenhagen - Denmark,30 mins,SOnicPi
52.4796992,-1.9026911,Chromatouch,Birmingham - UK,30 mins,ORCA/Iannix
51.2254018,6.7763137,Algoconcert from Dusseldorf,Düsseldorf - Germany,90 mins,NS
53.3806626,-1.4702278,Anna Xambó,Sheffield - UK,30 mins,NS
53.3806626,-1.4702278,Alessandro Altavilla,Sheffield - UK,30 mins,NS
53.7974185,-1.5437941,DJ AMATHYST,Leeds - UK,30 mins,TidalCycles
-34.6075682,-58.4370894,irisS,Buenos Aires - Argentina,30 mins,Tidal/Hydra
40.4416941,-79.9900861,Livecode PGH: Eulerroom Equinox 2020,Pittsburgh - PA - USA,150 mins,NS
40.6501038,-73.9495823,livecodenyc algorave,Brooklyn - NY - USA,120 mins,NS
